ward_code,Ward,Borough,Childhood_Obesity_Year6,Children_in_poverty,dependent_children_in_out_of_work_households,Public_Transport_Accessibility,Crime_rate,Unauthorised_Absence_in_All_Schools,Median_Household_income,Qualifications_Level4_and_above,Population_density,Households_with_access_to_openspace,Road_Casualties,People_activities_are_limited,People_with_Bad_or_Very_Bad_Health,Average_GCSE,Unemployed
E05000197,Edmonton Green,Enfield,30.94,42.67,38.45,3.99,112.02,1.91,26010,19.5,5822.580645,83.65,87.67,7.9,6.8,27.2417253,16.99441935
E05000198,Enfield Highway,Enfield,24.96,40.67,35.75,2.48,78.76,1.58,29450,18.6,3500,57.73,37,7.4,5.9,22.1131338,13.42189013
E05000199,Enfield Lock,Enfield,28.02,43.47,39.27,2.56,74.2,1.97,30240,23.5,5015.151515,56.8,26,6.7,5.5,24.9022065,13.56194405
E05000200,Grange,Enfield,13.24,11.7,9.81,3.04,77.07,0.59,45960,39.1,3878.787879,34.91,34,6.2,4.1,76.0327239,5.582996557
E05000201,Haselbury,Enfield,26.07,39.47,33.92,3.05,87.01,1.91,29600,21.4,9083.333333,75.65,47.33,7.1,6.3,31.1851193,13.25219743
E05000202,Highlands,Enfield,18.83,17.13,14.25,2.55,39.43,0.72,43540,35.1,2558.823529,48.17,16.33,7.5,4.6,62.768634,6.076210093
E05000203,Jubilee,Enfield,24.08,36.3,31.83,2.46,79.9,1.43,30800,20.9,3705.128205,33.65,43,8,6.5,33.4764184,11.4410612
E05000204,Lower Edmonton,Enfield,29.48,41.83,38.26,3.4,80.5,1.85,28110,20,7545.454545,28.13,42.67,7.8,6.4,22.7518985,13.804151
E05000205,Palmers Green,Enfield,23.66,22.03,18.68,2.46,97.62,1.16,37970,33.5,8026.315789,29.15,67.33,7.4,5.5,45.6894111,8.601485149
E05000206,Ponders End,Enfield,30.02,40.33,34.57,3.24,90.86,1.47,28560,21,4500,41.08,57.67,7.2,5.9,30.2526058,13.98919534
E05000207,Southbury,Enfield,23.09,36.1,31.74,3.08,87.54,1.41,33260,25.4,5034.482759,59.84,73.33,6.9,5.1,25.2761983,11.02173299
E05000208,Southgate,Enfield,16.49,20.87,16.69,3.07,59.41,0.66,41520,41.2,5370.37037,16.04,35.33,7,4.7,69.2695783,7.904316173
E05000209,Southgate Green,Enfield,22.25,18.4,15.28,3.77,82.35,0.87,42750,40,5326.923077,66.54,65.67,7.1,4.7,61.9330746,7.16747071
E05000210,Town,Enfield,20.09,16.1,14.3,2.53,53.89,0.63,42300,33,6818.181818,39.66,30,6.3,4.1,48.5663426,6.369032896
E05000211,Turkey Street,Enfield,27.08,42.5,39.2,2.48,102.63,1.88,28960,17.9,6282.608696,69.19,57.67,8.6,6.2,18.0951402,13.40110906
E05000212,Upper Edmonton,Enfield,28.5,38.77,33.94,3.18,112.48,1.68,28480,21.5,6462.962963,78.36,108,7.4,6.4,27.1241102,13.97491682
E05000213,Winchmore Hill,Enfield,19.72,11.73,9.83,2.73,68.12,0.61,45880,42.9,4821.428571,48.18,26,6.3,4,74.3728801,5.962867597
E05000214,Abbey Wood,Greenwich,29.5,34.73,29.86,3.06,99.86,1.71,31540,24.2,5833.333333,99.18,33,8.6,6.3,20.6512083,13.00121507
E05000215,Blackheath Westcombe,Greenwich,23.3,13.6,12.41,3.41,102.8,1.33,49160,57.5,6166.666667,61.35,35,6.9,4.4,71.5123677,5.653950954
E05000216,Charlton,Greenwich,27.34,29.13,25.88,3.71,88.75,1.58,37940,37.2,7225,74.4,24.33,8.4,6.1,34.8907392,10.28663274
E05000217,Coldharbour and New Eltham,Greenwich,22.66,20.37,18.12,2.8,77.73,1.16,38390,23.4,5240,69.89,41,9.1,5.8,46.220427,7.542908762
E05000218,Eltham North,Greenwich,14.37,12.2,10.83,2.86,83.19,0.89,43120,31.8,4826.923077,69.13,24.67,7.6,4.9,72.3450663,6.234115712
E05000219,Eltham South,Greenwich,25.37,26.67,21.88,3.22,98.66,1.47,37120,25.1,2739.130435,92.68,61,7.6,4.9,50.3991419,9.37847719
E05000220,Eltham West,Greenwich,20.6,30.83,29.96,2.95,94.75,2.07,34250,21.2,4354.166667,97.91,56,10.1,7.3,20.372735,11.2749004
E05000221,Glyndon,Greenwich,24.28,33.7,28.93,3.8,85.17,1.74,31690,28.6,10735.29412,77.84,45.33,7.6,5.7,26.3528092,14.57759898
E05000222,Greenwich West,Greenwich,25.9,29.5,24.07,4.29,128.95,1.64,42270,49.9,5928.571429,93.77,79,5.2,3.9,38.1196871,9.212325166
E05000223,Kidbrooke with Hornfair,Greenwich,24.31,28.17,25.93,2.56,102.04,1.82,35740,30.8,5979.166667,58.1,40,9,6.3,28.0960598,9.319385953
E05000224,Middle Park and Sutcliffe,Greenwich,24.07,32.33,28.13,2.38,91.11,2.12,35340,29.6,4106.060606,95.74,55,9.1,6.4,29.5524504,10.21447308
E05000225,Peninsula,Greenwich,19.4,28.17,22.03,4.1,143.93,1.68,41840,49.5,3133.333333,79.47,106.33,6.5,4.7,34.8413093,7.209847597
E05000226,Plumstead,Greenwich,27.32,27.9,24.62,3.44,105.63,1.62,32390,25.2,7000,70.8,36,7,5.2,30.1158137,13.93500117
E05000227,Shooters Hill,Greenwich,23.02,19.43,16.31,2.4,71.14,1.21,39030,31.3,3552.631579,73.43,22.33,6.9,4.8,55.9787808,9.520441364
E05000228,Thamesmead Moorings,Greenwich,28.42,31.3,26.4,2.57,89.57,1.47,34450,32.4,4125,88.51,37.67,5.8,4.6,32.6811817,13.36171096
E05000229,Woolwich Common,Greenwich,23.53,35.13,29.78,4.1,89.29,1.61,30260,26.7,6750,95.18,62.67,6.8,5.3,31.8059717,15.40721589
E05000230,Woolwich Riverside,Greenwich,26.59,36.87,32.17,4.24,108.83,2.03,33540,35.2,6000,93.12,81.67,6.8,5.4,23.4049762,13.36032389
E05000231,Brownswood,Hackney,30.74,34.93,34.17,5.83,136.75,1.16,40070,51.7,13937.5,99.57,59.33,6.6,5.7,30.209132,7.606812933
E05000232,Cazenove,Hackney,20.64,23.27,17.97,4.79,71.76,0.83,38130,35.6,19214.28571,98.93,25.33,5.5,4.8,26.0175093,10.3894105
E05000233,Chatham,Hackney,26,40.77,39.22,5.8,125,0.98,32510,37.6,14777.77778,88.92,57.33,7.5,6.5,24.8711651,14.79323575
E05000234,Clissold,Hackney,18.92,24.57,21.13,3.71,111.84,0.69,45450,53.5,17500,89.1,17.33,6.2,5.8,45.562727,7.796101949
E05000235,Dalston,Hackney,25.13,38.5,36.45,5.55,206.18,1.2,38230,48.6,16444.44444,100,84.67,6.8,5.5,35.1646398,10.53443526
E05000236,De Beauvoir,Hackney,29.08,38.37,34.37,4.63,126.98,1.08,39060,49.8,15222.22222,90.16,54.67,6.3,5.5,35.8913039,9.357005758
E05000237,Hackney Central,Hackney,26.51,38.53,35.39,6.73,118.11,1.12,35260,42,15750,98.51,59.33,8.2,6.9,45.524303,12.83289637
E05000238,Hackney Downs,Hackney,25.39,34.83,34.23,5.27,115.86,1.2,35700,42.2,13000,99.79,44.67,8.1,6.8,31.8174625,12.66509106
E05000239,Haggerston,Hackney,28.85,42.9,39.81,5.16,124.31,1.04,36080,45.8,11625,92.95,120,6.8,6,23.5497818,10.65830721
E05000240,Hoxton,Hackney,27.12,43.9,39.1,5.55,82.9,1.29,34970,41.7,19000,99.22,39.33,7,6,28.2737951,12.33773828
E05000241,King's Park,Hackney,28.25,42.33,38.64,3.05,96.58,1.04,31970,30.6,6194.444444,90.8,8.33,9.1,7.9,28.0074507,16.09968354
E05000242,Leabridge,Hackney,23.49,34.97,32.55,4.29,111.15,1.09,35110,41.5,12818.18182,44.28,27.33,7.6,6.7,24.088039,12.94346979
E05000243,Lordship,Hackney,21.4,23.93,18.97,3.69,75.95,0.96,39940,40.4,10250,72.61,37.67,7.2,5.6,34.1728515,8.913308913
E05000244,New River,Hackney,26.38,24.07,18.5,4.99,87.39,1.16,35590,26.6,12600,82.69,60,7.4,6.2,38.2793315,12.9513633
E05000245,Queensbridge,Hackney,24.87,38.87,34.72,4.09,161.88,1.21,36720,44.6,12454.54545,95.31,43,8.2,7,25.8159363,10.92770313
E05000246,Springfield,Hackney,25.16,27.7,22.64,3.11,74.16,1.07,33570,21.9,12400,73.82,20.33,7.6,6.4,43.5824118,15.10060153
E05000247,Stoke Newington Central,Hackney,22.3,26.07,25.99,5.15,149.79,0.92,42400,52.4,17857.14286,97.12,56.33,6.7,5.8,39.8955256,8.438546766
E05000248,Victoria,Hackney,25.39,36.77,35.35,4.68,150.48,1.14,37350,41.8,16625,87.68,24.33,7.6,6.4,37.6329427,12.0888272
E05000249,Wick,Hackney,29.89,43.93,42.57,3.99,120.96,1.28,32890,34.4,7375,95.5,50.67,9.4,7,19.4988634,14.71139111
E05000250,Addison,Hammersmith and Fulham,23.84,22.73,21.1,6.38,138.83,1.08,43970,57.4,19166.66667,45.78,36,5.5,4.2,50.0744118,6.26925653
E05000251,Askew,Hammersmith and Fulham,23.49,31.7,26.59,3.55,120.88,1.26,38450,45.1,17687.5,10.61,41.67,6.5,5.4,49.0725398,8.964143426
E05000252,Avonmore and Brook Green,Hammersmith and Fulham,23.53,21.47,19.2,5.86,67.26,1.11,43350,54.5,13555.55556,31.18,37.67,5.6,4.5,53.4618833,7.317740391
E05000253,College Park and Old Oak,Hammersmith and Fulham,23,44.47,41.16,4.63,60.51,1.65,30890,31.9,2691.176471,26.22,58.33,8.2,6.2,33.4115592,11.66062673
E05000254,Fulham Broadway,Hammersmith and Fulham,20.81,29.1,27.58,5,143.94,1.2,42130,47.7,15714.28571,12.41,24.67,7.2,5.7,47.2454197,7.269450285
E05000255,Fulham Reach,Hammersmith and Fulham,24.47,27.07,26.23,3.79,78.23,1.15,42010,51.6,12500,75.32,40,5.8,4.6,60.1360056,6.096318929
E05000256,Hammersmith Broadway,Hammersmith and Fulham,21.61,30.27,28.18,6,104.64,1.28,39500,45.3,10818.18182,30.85,77,8,6.2,38.0677268,8.472849032
E05000257,Munster,Hammersmith and Fulham,18.33,14.17,14.24,3.72,106.87,1.28,50240,56.9,18333.33333,40.16,14.33,4.9,3.6,54.7530377,5.049047894
E05000258,North End,Hammersmith and Fulham,26.46,35.67,34.12,5.26,107.11,1.49,39510,52.6,19333.33333,33.47,33.67,5.7,4.5,48.5591331,7.604766368
E05000259,Palace Riverside,Hammersmith and Fulham,10.53,8.23,7.96,3.86,94.4,0.74,53330,56.2,5000,75.15,28,5.1,3.7,75.6128303,4.182133135
E05000260,Parsons Green and Walham,Hammersmith and Fulham,26.97,13.3,13.32,4.73,121.71,1.58,55720,56.4,12000,4.81,68.33,4.6,3.4,44.9226881,5.638977636
E05000261,Ravenscourt Park,Hammersmith and Fulham,16.44,24.1,24.02,4.18,126.76,1.16,45510,55.1,9000,7.48,50.33,6.9,4.9,54.7847836,6.808926535
E05000262,Sands End,Hammersmith and Fulham,26.53,31.77,28.36,3.05,73.25,1.49,44170,47.6,9107.142857,31.63,33.33,5.7,4.4,44.9016112,7.297447281
E05000263,Shepherd's Bush Green,Hammersmith and Fulham,20.99,32.33,33.43,5.59,173.59,1.07,36430,46.5,11090.90909,26.11,84.67,7.2,5.8,52.8310501,9.18662806
E05000264,Town,Hammersmith and Fulham,24.31,24.03,20.04,4.84,124.53,1.27,47940,57.9,16000,10.98,41,4.9,3.7,49.137067,6.344283096
E05000265,Wormholt and White City,Hammersmith and Fulham,28.18,43.3,42.59,3.09,111.06,1.4,31860,32,14888.88889,10.73,30,8.3,6.5,45.3145294,12.15787086
E05000266,Alexandra,Haringey,10.32,10.23,8.21,3.01,111.29,0.84,51450,58.5,4557.692308,27.91,7.67,4.4,3.6,71.3008586,5.568685377
E05000267,Bounds Green,Haringey,22.6,31.4,27.4,4.73,111.89,1.52,34550,37.3,9821.428571,94.43,49,6.8,5.5,30.6641137,10.40537051
E05000268,Bruce Grove,Haringey,27.92,34.8,34.87,4.36,117.24,1.71,30340,27.6,16111.11111,62.77,55,7.5,6.4,18.1511223,12.67546908
E05000269,Crouch End,Haringey,9.76,9.1,8.1,3.29,112.74,0.75,52070,67,8892.857143,73.41,28.67,3.8,3,63.5032825,5.01409832
E05000270,Fortis Green,Haringey,10.87,12.5,11.58,3.09,84.86,0.89,49950,58.4,6275,41.75,32,5,3.5,70.847307,5.829660173
E05000271,Harringay,Haringey,28.75,27.13,28.49,4.73,129.49,1.38,37150,46.6,8312.5,79.1,84.67,5.9,5.3,35.9733825,8.390410959
E05000272,Highgate,Haringey,17.42,10.8,10.02,3.55,93.29,1.22,53710,65.7,4660,90.99,40,4.6,3.4,40.7538333,4.62594372
E05000273,Hornsey,Haringey,17.7,28.8,28.16,3.03,91.21,1.15,40260,51.5,11545.45455,58.77,29,6.6,5.7,30.7576898,9.302325581
E05000274,Muswell Hill,Haringey,8.75,8.73,7.46,3.18,103.07,0.86,53910,62.8,6352.941176,77.32,29.67,4.8,3.3,71.0255209,5.111624326
E05000275,Noel Park,Haringey,29.81,40.5,35.95,5.88,204.63,1.9,30620,33.8,11625,53.37,98.67,8.7,7.4,18.1998065,11.94780481
E05000276,Northumberland Park,Haringey,30.15,44.33,40.26,3.91,113.98,1.53,25090,20.2,7605.263158,93.13,69.67,8.1,7.2,16.7721328,19.40996292
E05000277,St Ann's,Haringey,21.9,33.33,30.76,3.63,98.95,1.56,32460,35.2,13318.18182,52.17,42,7.8,6.6,17.2273621,10.48863208
E05000278,Seven Sisters,Haringey,26.52,24.57,23.76,4.26,100.42,1.34,33500,29,12307.69231,83.58,57.67,6.6,5.6,32.0399998,11.12856769
E05000279,Stroud Green,Haringey,18.41,23.17,21.51,3.85,104.67,1.18,44780,60.5,10727.27273,66.89,10,5.5,4.6,46.1013568,6.581376945
E05000280,Tottenham Green,Haringey,28.07,38.23,34.76,5.7,140.14,1.54,28920,29.2,10428.57143,81.6,102.33,8.4,7.4,11.9087858,14.42713833
E05000281,Tottenham Hale,Haringey,28.99,41.27,37.74,4.23,122.35,1.62,27340,23.1,7947.368421,56.48,45.67,7.2,6.3,14.50762,14.80894016
E05000282,West Green,Haringey,26.14,36.7,34.84,3.83,103.39,1.46,31110,30.6,9571.428571,74.12,42,8.2,7,21.4597561,12.38479263
E05000283,White Hart Lane,Haringey,28.55,43.5,40.24,3.25,106.02,1.7,27010,20.7,7911.764706,82.14,51.33,9.3,7.8,23.6514082,15.24465642
E05000284,Woodside,Haringey,21.91,35.5,32.71,4.58,83.55,1.52,32010,32.9,9700,56.68,61.67,7.3,6,32.8813051,10.24408752
E05000285,Belmont,Harrow,17.05,13.5,10.95,1.7,72.79,0.42,42380,36.4,6333.333333,67.83,19,5.3,3.7,57.2457572,6.405933918
E05000286,Canons,Harrow,18.29,19.97,11.82,2.67,55.39,0.77,39890,40.8,2241.071429,83.41,46.67,8.5,5.6,61.7641577,5.383255664
E05000287,Edgware,Harrow,21.73,20.77,19.59,2.9,81.32,0.69,33600,29.4,8357.142857,83.9,40,6.5,4.5,47.9051726,8.677821522
E05000288,Greenhill,Harrow,20,24.57,18.66,4,99.31,0.7,37550,46,7352.941176,77,42.33,6.4,4.2,50.0221312,8.013449145
E05000289,Harrow on the Hill,Harrow,19.76,18,10.89,3.16,64.99,0.59,39630,41.8,3430.555556,79.83,41,6.1,4.2,57.4528851,7.115689382
E05000290,Harrow Weald,Harrow,19.66,24.1,20.31,2.43,77.91,0.81,36940,32.3,2489.130435,75.4,38,7.5,5.5,46.9509342,8.132956153
E05000291,Hatch End,Harrow,20.34,15.17,12.67,2.07,61.11,0.56,42350,41.8,3257.575758,76.12,26.67,7.4,4.4,68.2792784,6.006674082
E05000292,Headstone North,Harrow,20.7,10.3,8.16,2.62,54.31,0.31,44470,43.6,3075.757576,87.16,25.67,6.3,4.1,75.9230038,5.615874204
E05000293,Headstone South,Harrow,20.07,19.03,13.42,2.98,59.01,0.43,39090,43,7466.666667,49.77,26.33,5.8,4,66.0950852,7.578281146
E05000294,Kenton East,Harrow,21.83,19.67,17.42,2.4,59.34,0.41,32880,27.6,8615.384615,44.49,22.33,7.5,5.3,56.8197315,8.554873892
E05000295,Kenton West,Harrow,19.92,13.77,12.1,2.79,65.98,0.4,38400,34.1,6250,64.49,14.33,6.6,4.5,63.2012727,7.023907667
E05000296,Marlborough,Harrow,19.02,26.73,22.79,3.62,81.61,0.68,34450,35.5,7718.75,49.44,24.33,6.7,4.7,47.0059064,10.39119804
E05000297,Pinner,Harrow,15.07,14.97,12.61,1.93,64.61,0.58,43950,44.3,3060.606061,76.52,21,7,4.3,59.3260321,5.935432124
E05000298,Pinner South,Harrow,17.6,8.23,6.54,2.11,50.96,0.29,49420,47.5,4375,76.74,14.33,5.1,3,80.2524316,4.99718204
E05000299,Queensbury,Harrow,21.31,18.73,17.7,2.53,76.15,0.41,35030,30.5,7531.25,55.93,27.67,6.4,4.8,62.4597512,8.368747957
E05000300,Rayners Lane,Harrow,16.05,13.07,9.83,3.27,57.8,0.39,40310,37.9,7466.666667,75.73,19.33,5.9,3.8,62.6949299,6.367303982
E05000301,Roxbourne,Harrow,22.32,28.4,23.14,2.97,70,0.65,32130,29.2,8600,89.54,18.33,7.3,5.4,40.2669192,10.10166209
E05000302,Roxeth,Harrow,21.41,18.87,15.11,3.05,90.43,0.56,35110,28.9,7343.75,78.58,20,6,4.2,47.5770277,9.072580645
E05000303,Stanmore Park,Harrow,14.35,19.9,17.99,1.89,71.63,0.69,39210,35.3,2511.111111,82.28,26.67,9.9,6.4,40.0678078,7.053787456
E05000304,Wealdstone,Harrow,19.84,28.5,24.39,3.11,88.19,0.77,32080,27.2,9541.666667,68.15,18,7,5.2,33.1725594,10.88896823
E05000305,West Harrow,Harrow,19.93,19.5,15.82,3.24,56.92,0.5,40210,40.7,6966.666667,79.17,11.67,6.5,4.4,52.1863967,7.351331631
E05000306,Brooklands,Havering,23.99,25.23,21.13,2.83,65.15,0.95,35250,21.3,3571.428571,66,68,7.8,5,34.2493184,8.841655138
E05000307,Cranham,Havering,16.95,10.3,8.38,2.2,45.37,0.43,42250,23.3,1901.515152,51.96,51.33,7.6,4.8,66.7564871,4.633140973
E05000308,Elm Park,Havering,21,23.07,20.72,2.72,75.83,1.04,34730,16.5,3378.378378,51.25,23.67,8.8,5.7,29.7347804,7.506281407
E05000309,Emerson Park,Havering,18.3,7.57,6.49,1.98,61.82,0.48,43790,24.3,2608.695652,40.29,27.67,7.2,4.3,60.6379371,4.441166831
E05000310,Gooshays,Havering,25.52,33.9,31.9,2.55,107.66,1.53,29400,13.2,1891.025641,96.27,40.67,10.4,7.1,9.9248756,12.95224313
E05000311,Hacton,Havering,15.11,11.33,11.44,2.48,44.56,0.52,39740,17.9,4920,77.56,15.33,7.3,4.3,42.8795583,5.615885821
E05000312,Harold Wood,Havering,17.75,18.67,17.17,2.41,71.25,0.63,37010,20.6,1671.052632,84.89,58.33,8.4,5.6,47.979929,7.57986739
E05000313,Havering Park,Havering,19.57,26.97,25.15,2.08,66.86,1.15,33590,15.3,1331.632653,72.84,20.67,8.7,5.7,22.9627265,8.549426371
E05000314,Heaton,Havering,25.59,33.8,31.06,2.06,85.92,1.36,29560,13.7,3705.882353,69.88,42.67,11.8,7.3,14.1256603,11.35652174
E05000315,Hylands,Havering,14.75,11.77,9.9,2.1,79.87,0.55,39890,19.2,4482.758621,78.34,28,7.1,4.2,46.2422382,5.826749436
E05000316,Mawneys,Havering,19.9,19.13,17.89,2.38,76.3,0.94,35820,16.3,4316.666667,73.39,38,8.5,5.2,26.0132116,6.796563363
E05000317,Pettits,Havering,12.39,12.53,11.15,2.16,67.76,0.63,40010,19.9,3250,55.53,42.67,7.5,4.4,41.9095651,5.377973034
E05000318,Rainham and Wennington,Havering,24.26,22.9,19.89,1.97,86.77,0.78,34470,14.9,739.6449704,59.92,65.67,7.9,5.2,32.8775003,8.044188579
E05000319,Romford Town,Havering,20.71,21.43,17.94,4.26,143.73,0.81,37160,26.3,5500,51.79,79.67,7.5,4.9,42.0606028,7.645020677
E05000320,St Andrew's,Havering,17.56,14.33,12.91,3.33,83.53,0.46,38130,18.9,4962.962963,73.4,31.33,8.9,5.1,45.8528002,6.142611684
E05000321,South Hornchurch,Havering,23.76,25.1,22.48,2.4,86.24,0.85,33160,14,2000,72.31,68,8.6,5.6,25.8278657,9.308194774
E05000322,Squirrel's Heath,Havering,19.48,12.73,12.06,2.62,62.83,0.58,41740,24.3,5096.153846,54.39,40,6.5,4,54.7468634,5.098684211
E05000323,Upminster,Havering,13.12,4.5,3.9,1.97,54.29,0.44,47580,27.9,571.1111111,48.43,44,7.2,4.1,61.5380669,4.121475054
E05000324,Barnhill,Hillingdon,27.2,27.67,24.19,2.4,131.94,1.05,31800,22.4,6452.380952,15.44,50.33,6.9,5,37.334313,10.99500227
E05000325,Botwell,Hillingdon,23.82,31.4,26.96,2.83,71.95,1.23,30700,21.4,3431.818182,27.01,64.67,7.4,5.7,33.7777726,11.75585055
E05000326,Brunel,Hillingdon,20.47,25.57,19.78,2.77,77.77,1.06,34630,23.6,4212.121212,55.4,60.67,6.4,4.5,36.8173337,12.18690494
E05000327,Cavendish,Hillingdon,17.05,10.83,9.32,2.13,58.94,0.42,43970,29.9,5850,42.48,20.67,6.1,3.8,66.3294565,5.078500481
E05000328,Charville,Hillingdon,22.92,21.67,18.48,2.25,79.71,0.78,35410,21.1,4233.333333,4.15,18.33,6.6,4.2,45.1510733,7.848022423
E05000329,Eastcote and East Ruislip,Hillingdon,12.89,9.4,7.18,2.01,65.37,0.37,47380,38.1,2975.609756,33.94,32,5.4,3.2,66.4653859,4.029187817
E05000330,Harefield,Hillingdon,20.86,20,17.95,1.37,61.18,0.86,37990,25,490.1315789,30.9,25.67,8.7,5.6,35.6398807,5.811878664
E05000331,Heathrow Villages,Hillingdon,24.92,25.03,22.6,2.56,67.49,1.41,33170,24.2,523.4042553,6.56,172.67,5.2,4.2,36.5577598,8.178328905
E05000332,Hillingdon East,Hillingdon,19.63,21.07,17.53,1.97,89.2,0.76,37250,24.2,3611.111111,15.72,22.67,6.4,4.2,47.599791,7.608857185
E05000333,Ickenham,Hillingdon,15.79,5.6,5.31,2.04,51.94,0.39,48770,36,1685.483871,14.75,32.33,6,3.2,75.5752499,4.246084167
E05000334,Manor,Hillingdon,13.9,11.33,9.51,2.98,76.6,0.32,43460,29.6,5750,16.01,23,5.9,3.5,54.0758593,4.314159292
E05000335,Northwood,Hillingdon,13.99,10.6,8.27,2.23,55.36,0.74,46550,46.4,1425.675676,0,23.67,7.4,4.7,71.8949499,4.661095636
E05000336,Northwood Hills,Hillingdon,17.71,15.3,13.12,2.15,62.5,0.72,43320,37.1,3530.30303,18.93,20.33,6.9,4.3,54.9324476,6.149776823
E05000337,Pinkwell,Hillingdon,23.1,27.67,25.32,2.55,101.27,1.34,31830,22.8,5500,2.3,61,6,4.5,30.0386338,9.578597172
E05000338,South Ruislip,Hillingdon,18.18,12.03,15.69,2.63,72.37,0.7,40060,27.3,1682.432432,21.85,68.67,5.9,3.8,44.6459481,6.008277437
E05000339,Townfield,Hillingdon,23.61,30.87,27.86,2.94,124.66,1.28,30430,22.2,4057.142857,21.8,82,7.8,5.8,37.208164,11.93165363
E05000340,Uxbridge North,Hillingdon,17.95,15.1,12.47,2.35,92.17,0.78,41470,34.9,2630.434783,37.42,60,6.7,4.1,66.8131365,5.563325563
E05000341,Uxbridge South,Hillingdon,17.11,24.53,20.71,2.45,62.57,0.97,34270,29.9,4532.258065,52.33,41.33,5.4,4.1,46.046041,10.9984288
E05000342,West Drayton,Hillingdon,23.59,33.53,28.78,2.18,93.48,1.33,32680,24,4128.571429,24.42,35,8,5.2,16.6934879,9.019983575
E05000343,West Ruislip,Hillingdon,10.77,11.23,10.67,2.38,84.25,0.58,43470,33.9,2431.818182,45.58,26.67,6.6,4.1,58.3005992,4.620630861
E05000344,Yeading,Hillingdon,23.44,28.8,25.71,2.02,128.4,1.06,33240,26,5934.782609,30.56,45.67,6.1,4.6,36.7591364,10.68188469
E05000345,Yiewsley,Hillingdon,22.94,31.03,28.62,2.42,87.39,1.27,32340,23.1,3262.5,52.74,36.67,7.2,5.2,26.4387473,9.156590976
E05000346,Bedfont,Hounslow,24.63,26.43,24.02,2,73.34,1.44,31870,20.2,2897.727273,73.91,36.33,7.3,5.1,34.9799178,7.737918767
E05000347,Brentford,Hounslow,23.51,30.2,27.23,3.18,71.76,0.98,35040,35.3,4500,38.72,89.67,6.8,5,49.6650624,9.191639386
E05000348,Chiswick Homefields,Hounslow,20.34,13.07,10.9,3.64,102.6,0.57,51830,55.7,4956.521739,17.69,44.67,4.4,3.1,63.8439696,5.401745411
E05000349,Chiswick Riverside,Hounslow,16.75,13.57,12.39,2.92,99.2,0.74,49680,56,5523.809524,45.1,33,5.3,3.6,72.1157673,4.291461779
E05000350,Cranford,Hounslow,25.83,27.93,26.9,2.39,89.82,1.45,30860,26.2,4574.074074,3.83,71.67,7.7,5.6,49.8489434,10.08309364
E05000351,Feltham North,Hounslow,27.5,22.7,21.01,2.9,74.16,1.34,32850,21.1,3411.764706,51.28,45,8.3,5.9,41.8495972,7.277227723
E05000352,Feltham West,Hounslow,25.6,25.9,23.17,2.2,108.84,1.48,34010,25,4875,70.98,20.33,5,3.7,29.8957011,7.885687181
E05000353,Hanworth,Hounslow,26.55,31.8,28.29,2.49,95.39,1.51,31150,19.2,3696.969697,20.03,47.67,7.1,5.5,27.1722373,9.955052439
E05000354,Hanworth Park,Hounslow,25.38,23.7,20.72,2.45,86.86,1.33,34340,22.2,3180.555556,38.39,41.67,6.4,4.8,37.3142048,6.849983729
E05000355,Heston Central,Hounslow,27.16,23.43,20.84,2.86,102.84,1.22,33580,32,7264.705882,0.28,42,7.1,5.6,56.9764711,9.391913403
E05000356,Heston East,Hounslow,23.45,25.17,22.21,2.28,86.26,1.09,34030,33.4,6175,14.79,48,6.6,4.7,53.679346,8.779576588
E05000357,Heston West,Hounslow,26.72,31,29.86,2.22,107.33,1.41,29490,24.4,3276.315789,31.89,91.33,7.7,5.8,50.4004573,11.23880345
E05000358,Hounslow Central,Hounslow,20.37,19.7,14.39,4.9,167.97,1.23,35830,42.8,8970.588235,0,37.67,5.5,3.7,53.8638721,8.877374784
E05000359,Hounslow Heath,Hounslow,25.59,26.43,21.3,3.09,106.35,1.48,32530,34.6,5285.714286,0.85,39,6.2,4.8,46.9544366,9.227969847
E05000360,Hounslow South,Hounslow,19.82,9.7,10.43,2.42,73.52,0.97,39920,32.9,6361.111111,21.47,14.33,5.5,3.8,64.858342,6.393129771
E05000361,Hounslow West,Hounslow,23.66,19.73,17.06,3.94,124.87,1.11,31890,33.5,7937.5,2.22,41,7.8,5.6,46.8094544,8.703096019
E05000362,Isleworth,Hounslow,20.6,31.73,29.49,2.2,88.86,1.31,34790,33.8,6000,55.48,16.67,7.7,5.5,31.97885,8.050781855
E05000363,Osterley and Spring Grove,Hounslow,14.73,14.47,10.13,2.85,62.13,0.88,42140,45.9,2079.365079,10.75,65,5,3.6,69.9878213,6.25415835
E05000364,Syon,Hounslow,22.65,27.23,24.25,3.5,80.09,1.17,37040,38.9,4689.655172,54.6,53,6.5,4.6,38.6520775,6.721820062
E05000365,Turnham Green,Hounslow,13.55,15.7,15.28,4.59,68.14,0.74,47080,55.4,6388.888889,2.35,78.67,5.9,3.9,48.5131322,5.181647127
E05000366,Barnsbury,Islington,22.8,36.1,32.02,5.54,155.03,1.54,44970,51.5,15250,99.79,45.33,7.5,6,27.5565516,8.207250928
E05000367,Bunhill,Islington,23.05,44.57,39.33,6.54,47.68,1.23,39200,45.2,13272.72727,97.43,117,6.3,5.3,28.7199402,11.26635336
