ward_code,Ward,Borough,Childhood_Obesity_Year6,Children_in_poverty,dependent_children_in_out_of_work_households,Public_Transport_Accessibility,Crime_rate,Unauthorised_Absence_in_All_Schools,Median_Household_income,Qualifications_Level4_and_above,Population_density,Households_with_access_to_openspace,Road_Casualties,People_activities_are_limited,People_with_Bad_or_Very_Bad_Health,Average_GCSE,Unemployed
E05000556,Beddington South,Sutton,24.08,29.83,25.26,2.02,77.99,1.41,35600,26.7,3451.612903,41.58,27.67,7.5,5.2,44.8341651,8.228678538
E05000557,Belmont,Sutton,19.68,12.2,10.39,2.14,36.22,0.76,44260,40.4,4391.304348,36.25,18.33,5.8,3.3,77.8845528,4.645654946
E05000558,Carshalton Central,Sutton,14.14,11.93,9.64,3.1,77.98,0.67,42200,35.7,5050,38.43,30,5.3,3.1,72.8254487,5.408216329
E05000559,Carshalton South and Clockhouse,Sutton,12.98,12.07,10.33,1.96,58.69,0.73,44270,34.8,1373.239437,5.21,18,5.9,3.4,70.430036,4.782187803
E05000560,Cheam,Sutton,13.14,6.7,5.78,2.05,50.74,0.52,46220,38.6,2653.846154,40.27,31,6.2,3.7,86.3845348,4.140986133
E05000561,Nonsuch,Sutton,11.59,7.17,5.58,2.19,62.32,0.52,42640,27.1,5631.578947,11.4,33.33,5.9,3.4,78.2433758,4.63010422
E05000562,St Helier,Sutton,24.68,28.07,26.49,2.85,73.09,1.54,31040,17.7,8000,47.44,42,7.6,5.2,27.7853837,9.32022932
E05000563,Stonecot,Sutton,18.58,9.33,8.46,2.42,69.63,0.54,39210,22.5,5375,42.02,33.67,5.4,3.4,69.7174177,4.5221843
E05000564,Sutton Central,Sutton,18.6,21.43,20.84,4.2,117.67,1.24,35660,31.2,8500,38.54,46.33,6.8,5.4,41.5569883,7.533281128
E05000565,Sutton North,Sutton,20,15.7,13.79,3.08,73.74,0.83,38060,25.7,5473.684211,25.78,34.33,7.1,4.6,55.865992,6.199411332
E05000566,Sutton South,Sutton,21.02,14.67,12.68,3.28,49.82,1.08,40460,41.6,7423.076923,20.09,9,8.1,4.8,74.3873888,5.19005848
E05000567,Sutton West,Sutton,20.08,10.17,8.75,3.39,56.58,0.68,41610,38.6,5888.888889,25.88,27,5.6,3.5,74.8112163,5.086122847
E05000568,The Wrythe,Sutton,21.48,17.23,15.71,2.47,87.06,0.95,36790,23.2,6800,42.06,15.67,6.2,4,42.6978789,6.716032375
E05000569,Wallington North,Sutton,19,14.4,13.34,3.33,73.93,0.79,38710,30.3,6687.5,55.4,33.67,5.7,3.8,62.2545787,5.898969757
E05000570,Wallington South,Sutton,21.03,18.57,16.69,3.2,77.94,0.88,37960,32,6029.411765,0.95,29.67,8,4.7,72.33178,6.779974136
E05000571,Wandle Valley,Sutton,20.16,27.67,26.59,2.23,89.99,1.48,32330,21.5,5571.428571,58.15,20.67,6.8,4.9,31.8493428,8.858330668
E05000572,Worcester Park,Sutton,18.26,13.53,11.75,2.27,53.25,0.82,40610,30.8,5875,21.48,17,5,3,73.6243683,5.287216212
E05000573,Bethnal Green North,Tower Hamlets,26.89,44.83,41.74,6.05,126.03,1.14,36230,40.2,17250,58.4,42.67,7.8,6.9,34.7073285,11.69575063
E05000574,Bethnal Green South,Tower Hamlets,23.33,43.33,41.25,6.7,159.03,1.19,32860,35.5,15833.33333,84.02,76,8,7.3,34.4923911,14.87968105
E05000575,Blackwall and Cubitt Town,Tower Hamlets,25.66,39.8,40.33,3.53,57.95,1.34,43330,50.8,6550,85.9,62.67,5.1,4.3,27.9010508,9.020204582
E05000576,Bow East,Tower Hamlets,27.52,47.53,47.01,3.67,119.66,1.55,36800,42,7842.105263,74.29,51.67,7.4,6.3,18.3001638,10.14425314
E05000577,Bow West,Tower Hamlets,19.76,33.77,32.84,5.37,177.63,1.32,41000,43.6,10038.46154,61.02,59.33,6.9,5.8,35.8048106,10.32830774
E05000578,Bromley-by-Bow,Tower Hamlets,25.24,45.27,42.14,4.31,90.13,1.16,31980,27.9,13272.72727,99.91,33.33,7.1,6.8,40.8323057,17.12934716
E05000579,East India and Lansbury,Tower Hamlets,25.94,48.23,43.74,3.38,108.62,1.13,29680,23.4,12458.33333,92.99,51.67,8.6,7.7,25.9091588,18.63714869
E05000580,Limehouse,Tower Hamlets,25.45,42.67,41.57,4.47,97.18,1.16,36260,37.4,14636.36364,99.17,66,6.8,6.2,24.0509408,12.27110583
E05000581,Mile End and Globe Town,Tower Hamlets,23.73,44.37,36.68,5.51,84.67,1.08,34300,34.2,16944.44444,69.35,36,6.5,5.9,35.5481108,13.93041587
E05000582,Mile End East,Tower Hamlets,31.05,45,42.04,5.29,122.56,1.42,32510,31.9,12227.27273,98.58,76,7.2,6.5,31.7441623,16.29734402
E05000583,Millwall,Tower Hamlets,24.87,38.33,27.55,3.4,15.95,1.44,46940,57.2,9320,87.63,41.67,3.7,3.3,39.0024111,8.120310736
E05000584,St Dunstan's and Stepney Green,Tower Hamlets,26.85,42.03,38.95,5.01,94.61,1.18,32930,29.9,16350,96.62,49.67,9.3,7.9,46.8726478,15.51606288
E05000585,St Katharine's and Wapping,Tower Hamlets,16.39,30.37,30.4,3.78,58.39,1.09,50770,57.8,8366.666667,91.67,62.33,5.1,4.4,49.0682477,6.238621192
E05000586,Shadwell,Tower Hamlets,27.64,44.5,38.54,5.1,93.56,0.99,36360,37.7,15250,86.4,88.33,7.2,6.5,42.3581509,12.82356049
E05000587,Spitalfields and Banglatown,Tower Hamlets,23.65,36.03,37.34,6.42,97.06,1.32,39910,44.4,17250,80.08,86.67,6.5,6.5,43.8081842,13.57857264
E05000588,Weavers,Tower Hamlets,26.07,44.83,41.98,5.15,212.03,0.96,37760,43.9,16625,89.16,54,7.8,6.7,35.7811446,11.00276716
E05000589,Whitechapel,Tower Hamlets,28.65,38.83,37.45,6.26,78.91,1.03,37600,45,16611.11111,75.94,103.67,6.3,6,40.6899599,10.43786982
E05000590,Cann Hall,Waltham Forest,21.95,31.2,28.93,2.89,101.38,1.87,32700,30.5,15444.44444,14.94,14.67,6.3,5.1,16.6992476,12.64620889
E05000591,Cathall,Waltham Forest,23.59,34.7,30.69,4.57,104.28,1.99,30950,28.6,11590.90909,49.41,27,6.9,5.3,20.935625,13.85004463
E05000592,Chapel End,Waltham Forest,23.58,25.53,22.2,2.89,97.05,1.17,36440,29.3,7861.111111,20.55,42.33,5.6,4.1,29.1165378,9.103279358
E05000593,Chingford Green,Waltham Forest,17.2,20.57,20.98,2.74,93.22,0.96,39280,27.1,2797.297297,51.76,30.67,8.8,5.5,51.9270443,6.576097657
E05000594,Endlebury,Waltham Forest,18.56,22.77,19.34,2.29,81.84,1.11,38580,24.7,5400,61.34,23.67,7.2,5.1,44.5608939,8.029861617
E05000595,Forest,Waltham Forest,22.81,20.07,18.26,4.13,108.01,1.13,36080,33.3,6350,16.61,50.67,6.9,5.3,34.1824223,10.33599518
E05000596,Grove Green,Waltham Forest,23.78,21.03,17.93,4.23,97.56,1.33,36350,34.8,16333.33333,4.63,27,5.1,4.3,24.620073,9.812206573
E05000597,Hale End and Highams Park,Waltham Forest,18.43,23.73,20.58,2.38,84.83,0.91,39490,28.9,4956.521739,42.97,49,6.5,4.4,45.7187463,7.968934661
E05000598,Hatch Lane,Waltham Forest,17.65,26.67,25.99,2.41,94.54,1.32,36110,24.1,4645.833333,57.81,22.67,9.2,6.4,37.7112482,8.070048745
E05000599,High Street,Waltham Forest,23.87,26.63,26.84,4.21,230.12,1.19,34810,35.7,4580.645161,2.09,50.67,6.2,4.7,34.8885641,9.204073934
E05000600,Higham Hill,Waltham Forest,27.47,36.3,33.61,2.6,84.69,1.19,31270,24.7,4140.625,19.6,42.67,7.7,6,24.7472918,12.60997067
